pmcid,first_surname,first_given-names,first_gender,last_surname,last_given-names,last_gender,category
2386499,McKeown,Martin J,male,Huang,Xuemei,androgenous,
2686861,Shin,Ha Y.,male,Sohn,Young H.,female,MW
2880871,Udink ten Cate,Floris EA,male,Sreeram,Narayanswami,unknown,
3266292,Emir,Uzay E.,male,Öz,Gülin,female,MW
3402450,Toxopeus,Carolien M.,female,de Jong,Bauke M.,male,WM
3840139,Kim,Ji Sun,androgenous,Cho,Jin Whan,female,
3940915,Peterson,Daniel S.,male,Earhart,Gammon M.,unknown,
3995937,van der Hoorn,Anouk,female,de Jong,Bauke M.,male,WM
4001189,Welter,Marie-Laure,unknown,Agid,Yves,male,
4027714,Chung,Eun Joo,female,Kim,Sang Jin,androgenous,
4061081,Fling,Brett W.,male,Horak,Fay B.,female,MW
4112717,Herz,Damian M.,male,Siebner,Hartwig R.,male,MM
4326476,Earhart,Gammon M,unknown,Pickett,Kristen A,female,
4607499,Quattrocchi,Carlo Cosimo,male,Stocchi,Fabrizio,male,MM
4619336,King,LA,unknown,Horak,FB,unknown,
4647191,Al-Hourani,Khalid,male,Mesfin,Addisu,unknown,
4697088,Andersen,Anders H.,male,Blonder,Lee X.,male,MM
4721548,Rudi,Katharina,female,Klare,Johann P.,unknown,
4748867,Lin,Wei-Che,unknown,Lu,Cheng-Hsien,unknown,
4763054,Nagae,Lidia M.,female,Berman,Brian D.,male,WM
4779527,Lu,Yan-Ting,androgenous,Chang,Ya-Ting,androgenous,
4789131,Poston,Kathleen L.,female,Menon,Vinod,male,WM
4832246,Siddiqui,Irum Javaid,unknown,Abbasi,Amir Ali,male,
4881621,Henderson-Smith,Adrienne,female,Dunckley,Travis L.,male,WM
5048387,Park,Hye‐Jin,unknown,Mouradian,M. Maral,unknown,
5082970,Makovac,Elena,female,Bozzali,Marco,male,WM
5096886,Rittman,Timothy,male,Rowe,James B.,male,MM
5227114,Bakhit,Yousuf Hasan Yousuf,male,Hassan,Mohamed Ahmed Salih,male,MM
5435130,Caspell-Garcia,Chelsea,female,Weintraub,Daniel,male,WM
5600039,Sakurai,Keita,male,Shibamoto,Yuta,female,MW
5624169,Zhang,Y. N.,unknown,Zhang,Y. N.,unknown,
5740885,Pawlukowska,Wioletta,female,Nowacki,Przemysław,male,WM
5747439,Bajaj,Sweta,female,Seppi,Klaus,male,WM
5811645,Reinacher,Peter Christoph,male,Coenen,Volker Arnd,male,MM
5877503,Marsili,Luca,male,Colosimo,Carlo,male,MM
5983519,Lee,Hye-Jeong,female,Kim,Young Jin,female,WW
5984599,Freeze,Benjamin,male,Raj,Ashish,male,MM
6074062,Liu,Hong,androgenous,Liu,Yiming,androgenous,
6105043,Firbank,Michael J.,male,Taylor,John-Paul,unknown,
6186956,Taylor,Kirsten I.,female,Dukart,Juergen,unknown,
6265407,Guevara,Carlos,male,Baabor,Marcos,male,MM
6320009,Qiu,Mingjie,androgenous,Dong,Hongmei,androgenous,
6391861,Głowniak,Andrzej,male,Wysokiński,Andrzej,male,MM
6395547,Kamps,Sanne,female,Vriend,Chris,male,WM
