,affiliation,country,iso3,longitude,latitude,city
6395547,"1 0000 0004 1754 9227 grid.12380.38 Department of Psychiatry, Amsterdam UMC, Amsterdam Neuroscience,  Vrije Universiteit Amsterdam,  Amsterdam, The Netherlands  2 0000 0004 1754 9227 grid.12380.38 Department of Anatomy and Neurosciences, Amsterdam UMC, Amsterdam Neuroscience,  Vrije Universiteit Amsterdam,  Amsterdam, The Netherlands  3 0000 0004 1754 9227 grid.12380.38 Department of Neurology, Amsterdam UMC, Amsterdam Neuroscience,  Vrije Universiteit Amsterdam,  Amsterdam, The Netherlands  4 0000 0004 1936 8972 grid.25879.31 Departments of Psychiatry and Neurology,  Perelman School of Medicine at the University of Pennsylvania,  Philadelphia, PA USA  5 0000 0004 0420 350X grid.410355.6 Parkinson’s Disease and Mental Illness Research, Education and Clinical Centers (PADRECC and MIRECC), Philadelphia Veterans Affairs Medical Center,  Philadelphia, PA USA  6 0000 0004 0435 165X grid.16872.3a Department of Anatomy and Neurosciences,  Amsterdam UMC, VU University Medical Center,  De Boelelaan 1108, P.O. Box 705, 1007 MB Amsterdam, The Netherlands",Netherlands,NLD,-75.1339,40.0077,Philadelphia
6794459,"Department of Neurology, The First Affiliated Hospital of Fujian Medical University ,  Fuzhou ,  China",China,CHN,119.2917,26.0769,Fuzhou
6186956,"1 Neuroscience, Ophthalmology, and Rare Diseases, Pharma Research and Early Development, Roche Innovation Center Basel, F. Hoffmann-La Roche Ltd. ,  Basel ,  Switzerland 2 Department of Experimental and Clinical Medical Sciences (DISM), University of Udine ,  Udine ,  Italy 3 Department of Basic Medical Science, Neuroscience, and Sense Organs, University of Bari ,  Bari ,  Italy 4 Psychiatry Unit, Bari University Hospital ,  Bari ,  Italy",Italy,ITA,16.8667,41.1253,Bari
7200442,"a Department of Neurosurgery, 300 UCLA Stein Plaza, Suite 526 b Department of Psychiatry, 150 UCLA Medical Plaza Driveway c David Geffen School of Medicine at UCLA (University of California, Los Angeles, CA, USA",United States,USA,-118.4068,34.1139,Los Angeles
7180218,"1 Department of Radiology, First Affiliated Hospital of Dalian Medical University ,  Dalian ,  China 2 GE Healthcare, MR Research ,  Beijing ,  China",China,CHN,128.5736,27.3336,China
4001189,"From the Université Pierre et Marie Curie-Paris 6 (M.-L.W., M.S., V.C., C.K., S.F.-V., J.-L.G., A.H., V.M., F.P., Y.W., D. Grabli, D. Galanaud, D.D., M.V., L.M., E.B., J.Y., Y.A.), Centre de Recherche de l'Institut du Cerveau et de, la Moelle épinière, UMR-S975, Paris; Inserm (M.-L.W., M.S., V.C., C.K., S.F.-V., A.H., V.M., F.P., Y.W., D. Grabli, D. Galanaud, D.D., M.V., L.M., E.B., J.Y., Y.A.), U975, Paris; CNRS (M.-L.W., M.S., C.K., S.F.-V., A.H., V.M., F.P., Y.W., D. Grabli, D. Galanaud, D.D., M.V., L.M., E.B., J.Y., Y.A.), UMR 7225, Paris; Centre d'Investigation Clinique (M.-L.W., M.S., C.K., G.S., A.H., V.M., F.P., Y.W., P.Z., D. Grabli, A.-M.B., M.V., Y.A.), Département de Neurologie (M.-L.W., V.C., A.W., A.H., V.M., D. Grabli, A.-M.B., M.V., Y.A.), IM2A (V.C., F.P.), Service de Neurochirurgie (C.K., S.N., P.C., H.B.), Department of Clinical Neurophysiology (B.P.), and Service de Neuroradiologie Diagnostique et Fonctionnelle (D. Galanaud, D.D.), Hôpitaux Universitaires Pitié-Salpêtrière/Charles Foix, Assistance Publique-Hôpitaux de Paris, France; Department of Neurology (M.S.), University Hospital, Bern, Switzerland; Centre de Neuroimagerie de Recherche (S.F.-V., D. Galanaud, D.D.), Hôpitaux Universitaires Pitié-Salpêtrière/Charles Foix, Paris, France; Département de Biostatistiques et Information Médicale (J.-L.G.), Hôpitaux Universitaires Pitié-Salpêtrière/Charles Foix, Assistance Publique-Hôpitaux de Paris, ER4 (ex EA3974) Modélisation en Recherche Clinique, Paris, France; Department of Neurology (P.Z.), 251 Hellenic Air Force General Hospital, Athens, Greece; and Department of Neurology (J.-L.H.), CHU Poitiers, France.",Switzerland,CHE,7.4474,46.948,Bern
9187389,"Department of Radiodiagnosis, King George's Medical University, Lucknow, Uttar Pradesh, India",India,IND,80.947,26.847,Lucknow
7111738,"a Inserm U 1127, CNRS UMR 7225, Sorbonne universités, UPMC University Paris 06 UMR S 1127, institut du cerveau et de la mœlle épinière, ICM, 75013 Paris, France b Cellule nationale de référence des maladies de Creutzfeldt-Jakob, groupe hospitalier Pitié-Salpêtrière, AP–HP, 47-83, boulevard de l’Hôpital, 75651 Paris cedex 13, France c Centre national de référence des agents transmissibles non conventionnels, 75013 Paris, France d Unité James-Parkinson, Fondation ophtalmologique Rothschild, 75019 Paris, France e Département de neurologie, CHU de Nantes, 44093 Nantes, France f Inserm, U913, 44093 Nantes, France",France,FRA,-1.5528,47.2181,Nantes
7399038,"1 Department of Neurology, National Center of Gerontology, Beijing Hospital ,  Beijing ,  China 2 Department of Neurology, Research Institute of Neuromuscular and Neurodegenerative Disease, Qilu Hospital of Shandong University ,  Jinan ,  China 3 Department of Radiology, National Center of Gerontology, Beijing Hospital ,  Beijing ,  China",China,CHN,-80.2977,40.6483,Center
3995937,"Federal University of Rio de Janeiro, Brazil",Brazil,BRA,-87.124,39.5226,Brazil
5984599,"a Department of Radiology, NewYork-Presbyterian Hospital/Weill Cornell Medicine, United States b Division of Biostatistics and Epidemiology, Department of Healthcare Policy and Research, Weill Cornell Medicine, United States c Department of Radiology, University of California, San Francisco, United States",United States,USA,-122.443,37.7562,San Francisco
